frame,angle_deg
68000,0.1748
68010,0.1686
68020,0.1653
68030,0.1648
68040,0.1635
68050,0.1618
68060,0.1613
68070,0.1580
68080,0.1532
68090,0.1525
68100,0.1523
68110,0.1518
68120,0.1508
68130,0.1488
68140,0.1463
68150,0.1442
68160,0.1464
68170,0.1502
68180,0.1528
68190,0.1531
68200,0.1514
68210,0.1472
68220,0.1424
68230,0.1359
68240,0.1319
68250,0.1317
68260,0.1346
68270,0.1366
68280,0.1360
68290,0.1332
68300,0.1299
68310,0.1269
68320,0.1266
68330,0.1268
68340,0.1253
68350,0.1223
68360,0.1178
68370,0.1134
68380,0.1128
68390,0.1133
68400,0.1092
68410,0.1036
68420,0.0951
68430,0.0855
68440,0.0786
68450,0.0778
68460,0.0808
68470,0.0826
68480,0.0816
68490,0.0782
68500,0.0742
68510,0.0744
68520,0.0767
68530,0.0772
68540,0.0750
68550,0.0733
68560,0.0676
68570,0.0589
68580,0.0561
68590,0.0602
68600,0.0660
68610,0.0686
68620,0.0656
68630,0.0591
68640,0.0516
68650,0.0448
68660,0.0391
68670,0.0366
68680,0.0382
68690,0.0404
68700,0.0415
68710,0.0415
68720,0.0402
68730,0.0376
68740,0.0357
68750,0.0382
68760,0.0418
68770,0.0432
68780,0.0408
68790,0.0342
68800,0.0297
68810,0.0271
68820,0.0245
68830,0.0197
68840,0.0132
68850,0.0079
68860,0.0071
68870,0.0091
68880,0.0119
68890,0.0130
68900,0.0175
68910,0.0184
68920,0.0139
68930,0.0090
68940,0.0070
68950,0.0065
68960,0.0061
68970,0.0058
68980,0.0052
68990,0.0032
69000,0.0000
69010,0.0038
69020,0.0076
69030,0.0088
69040,0.0115
69050,0.0159
69060,0.0218
69070,0.0240
69080,0.0242
69090,0.0247
69100,0.0268
69110,0.0298
69120,0.0340
69130,0.0371
69140,0.0396
69150,0.0498
69160,0.0623
69170,0.0738
69180,0.0832
69190,0.0904
69200,0.0953
69210,0.0981
69220,0.0984
69230,0.0963
69240,0.0927
69250,0.0908
69260,0.0905
69270,0.0933
69280,0.0982
69290,0.1006
69300,0.1008
69310,0.1005
69320,0.1018
69330,0.1053
69340,0.1102
69350,0.1113
69360,0.1082
69370,0.1033
69380,0.0992
69390,0.0986
69400,0.0998
69410,0.1018
69420,0.1046
69430,0.1072
69440,0.1103
69450,0.1164
69460,0.1185
69470,0.1188
69480,0.1206
69490,0.1234
69500,0.1281
69510,0.1335
69520,0.1383
69530,0.1399
69540,0.1397
69550,0.1403
69560,0.1421
69570,0.1425
69580,0.1420
69590,0.1463
69600,0.1550
69610,0.1609
69620,0.1615
69630,0.1609
69640,0.1618
69650,0.1622
69660,0.1639
69670,0.1618
69680,0.1569
69690,0.1536
69700,0.1537
69710,0.1566
69720,0.1609
69730,0.1664
69740,0.1730
69750,0.1801
69760,0.1860
69770,0.1881
69780,0.1880
69790,0.1864
69800,0.1871
69810,0.1893
69820,0.1922
69830,0.1939
69840,0.1950
69850,0.1943
69860,0.1946
69870,0.1938
69880,0.1933
69890,0.1939
69900,0.1961
69910,0.1969
69920,0.1961
69930,0.1974
69940,0.2024
69950,0.2073
69960,0.2153
69970,0.2226
69980,0.2233
69990,0.2176
70000,0.2120
70010,0.2083
70020,0.2070
70030,0.2079
70040,0.2062
70050,0.1995
70060,0.1935
70070,0.1894
70080,0.1881
70090,0.1892
70100,0.1914
70110,0.1934
70120,0.1938
70130,0.1909
70140,0.1878
70150,0.1867
70160,0.1881
70170,0.1921
70180,0.1970
70190,0.1981
70200,0.2023
70210,0.2043
70220,0.2033
70230,0.2014
70240,0.2014
70250,0.2049
70260,0.2108
70270,0.2169
70280,0.2191
70290,0.2191
70300,0.2201
70310,0.2227
70320,0.2266
70330,0.2309
70340,0.2353
70350,0.2401
70360,0.2422
70370,0.2429
70380,0.2452
70390,0.2482
70400,0.2516
70410,0.2547
70420,0.2564
70430,0.2582
70440,0.2612
70450,0.2634
70460,0.2648
70470,0.2669
70480,0.2699
70490,0.2721
70500,0.2722
70510,0.2716
70520,0.2752
70530,0.2815
70540,0.2900
70550,0.2965
70560,0.2977
70570,0.2974
70580,0.2994
70590,0.3021
70600,0.3052
70610,0.3108
70620,0.3189
70630,0.3266
70640,0.3319
70650,0.3356
70660,0.3374
70670,0.3382
70680,0.3391
70690,0.3490
70700,0.3631
70710,0.3743
70720,0.3809
70730,0.3840
70740,0.3855
70750,0.3865
70760,0.3880
70770,0.3864
70780,0.3812
70790,0.3666
70800,0.3564
70810,0.3499
70820,0.3503
70830,0.3528
70840,0.3529
70850,0.3528
70860,0.3552
70870,0.3602
70880,0.3667
70890,0.3733
70900,0.3772
70910,0.3789
70920,0.3778
70930,0.3774
70940,0.3783
70950,0.3858
70960,0.3971
70970,0.4049
70980,0.4087
70990,0.4115
71000,0.4142
71010,0.4166
71020,0.4197
71030,0.4245
71040,0.4287
71050,0.4298
71060,0.4303
71070,0.4322
71080,0.4345
71090,0.4375
71100,0.4406
71110,0.4402
71120,0.4363
71130,0.4315
71140,0.4282
71150,0.4281
71160,0.4308
71170,0.4337
71180,0.4373
71190,0.4406
71200,0.4417
71210,0.4410
71220,0.4433
71230,0.4484
71240,0.4518
71250,0.4553
71260,0.4588
71270,0.4616
71280,0.4616
71290,0.4601
71300,0.4600
71310,0.4606
71320,0.4610
71330,0.4614
71340,0.4616
71350,0.4614
71360,0.4583
71370,0.4513
71380,0.4446
71390,0.4405
71400,0.4397
71410,0.4406
71420,0.4413
71430,0.4431
71440,0.4467
71450,0.4482
71460,0.4471
71470,0.4470
71480,0.4489
71490,0.4539
71500,0.4594
71510,0.4650
71520,0.4700
71530,0.4735
71540,0.4759
71550,0.4787
71560,0.4823
71570,0.4867
71580,0.4922
71590,0.4993
71600,0.5021
71610,0.4977
71620,0.4921
71630,0.4900
71640,0.4902
71650,0.4914
71660,0.4943
71670,0.4957
71680,0.4948
71690,0.4939
71700,0.4951
71710,0.4989
71720,0.5060
71730,0.5126
71740,0.5162
71750,0.5154
71760,0.5143
71770,0.5156
71780,0.5188
71790,0.5227
71800,0.5271
71810,0.5363
71820,0.5471
71830,0.5527
71840,0.5528
71850,0.5516
71860,0.5511
71870,0.5520
71880,0.5523
71890,0.5516
71900,0.5484
71910,0.5433
71920,0.5396
71930,0.5391
71940,0.5415
71950,0.5448
71960,0.5480
71970,0.5492
71980,0.5461
71990,0.5435
72000,0.5417
72010,0.5409
72020,0.5410
72030,0.5434
72040,0.5477
72050,0.5512
72060,0.5531
72070,0.5526
72080,0.5527
72090,0.5547
72100,0.5599
72110,0.5645
72120,0.5693
72130,0.5708
72140,0.5683
72150,0.5680
72160,0.5743
72170,0.5902
72180,0.6051
72190,0.6179
72200,0.6275
72210,0.6347
72220,0.6379
72230,0.6378
72240,0.6370
72250,0.6370
72260,0.6378
72270,0.6399
72280,0.6414
72290,0.6415
72300,0.6405
72310,0.6357
72320,0.6305
72330,0.6262
72340,0.6253
72350,0.6272
72360,0.6323
72370,0.6392
72380,0.6472
72390,0.6547
72400,0.6637
72410,0.6711
72420,0.6746
72430,0.6774
72440,0.6813
72450,0.6858
72460,0.6886
72470,0.6864
72480,0.6806
72490,0.6765
72500,0.6758
72510,0.6783
72520,0.6835
72530,0.6890
72540,0.6925
72550,0.6952
72560,0.7037
72570,0.7105
72580,0.7131
72590,0.7146
72600,0.7144
72610,0.7125
72620,0.7117
72630,0.7130
72640,0.7157
72650,0.7187
72660,0.7226
72670,0.7265
72680,0.7285
72690,0.7284
72700,0.7278
72710,0.7329
72720,0.7387
72730,0.7429
72740,0.7462
72750,0.7472
72760,0.7459
72770,0.7450
72780,0.7452
72790,0.7471
72800,0.7503
72810,0.7535
72820,0.7555
72830,0.7555
72840,0.7566
72850,0.7595
72860,0.7641
72870,0.7684
72880,0.7701
72890,0.7733
72900,0.7754
72910,0.7769
72920,0.7777
72930,0.7778
72940,0.7782
72950,0.7786
72960,0.7762
72970,0.7743
72980,0.7736
72990,0.7739
73000,0.7754
73010,0.7787
73020,0.7828
73030,0.7860
73040,0.7885
73050,0.7924
73060,0.7969
73070,0.7998
73080,0.8031
73090,0.8072
73100,0.8165
73110,0.8218
73120,0.8255
73130,0.8300
73140,0.8349
73150,0.8391
73160,0.8383
73170,0.8328
73180,0.8278
73190,0.8236
73200,0.8225
73210,0.8229
73220,0.8245
73230,0.8261
73240,0.8278
73250,0.8297
73260,0.8319
73270,0.8361
73280,0.8422
73290,0.8480
73300,0.8530
73310,0.8570
73320,0.8609
73330,0.8636
73340,0.8622
73350,0.8585
73360,0.8569
73370,0.8589
73380,0.8630
73390,0.8661
73400,0.8765
73410,0.8897
73420,0.9067
73430,0.9241
73440,0.9386
73450,0.9470
73460,0.9475
73470,0.9423
73480,0.9372
73490,0.9345
73500,0.9349
73510,0.9378
73520,0.9414
73530,0.9421
73540,0.9388
73550,0.9354
73560,0.9342
73570,0.9343
73580,0.9352
73590,0.9370
73600,0.9389
73610,0.9408
