frame,angle_deg
68000,0.8984
68010,0.8924
68020,0.8852
68030,0.8765
68040,0.8659
68050,0.8544
68060,0.8435
68070,0.8326
68080,0.8211
68090,0.8086
68100,0.7954
68110,0.7846
68120,0.7788
68130,0.7758
68140,0.7725
68150,0.7668
68160,0.7579
68170,0.7463
68180,0.7320
68190,0.7158
68200,0.7017
68210,0.6910
68220,0.6815
68230,0.6736
68240,0.6641
68250,0.6532
68260,0.6426
68270,0.6338
68280,0.6272
68290,0.6184
68300,0.6179
68310,0.6125
68320,0.6026
68330,0.5906
68340,0.5786
68350,0.5718
68360,0.5680
68370,0.5645
68380,0.5578
68390,0.5482
68400,0.5364
68410,0.5215
68420,0.5025
68430,0.4819
68440,0.4685
68450,0.4611
68460,0.4548
68470,0.4473
68480,0.4378
68490,0.4273
68500,0.4187
68510,0.4104
68520,0.4011
68530,0.3911
68540,0.3799
68550,0.3789
68560,0.3702
68570,0.3573
68580,0.3478
68590,0.3426
68600,0.3385
68610,0.3334
68620,0.3259
68630,0.3167
68640,0.3060
68650,0.2943
68660,0.2825
68670,0.2753
68680,0.2715
68690,0.2671
68700,0.2609
68710,0.2518
68720,0.2421
68730,0.2313
68740,0.2209
68750,0.2102
68760,0.1991
68770,0.1873
68780,0.1750
68790,0.1658
68800,0.1765
68810,0.1760
68820,0.1696
68830,0.1613
68840,0.1514
68850,0.1396
68860,0.1286
68870,0.1183
68880,0.1078
68890,0.0973
68900,0.0866
68910,0.0780
68920,0.0759
68930,0.0762
68940,0.0738
68950,0.0668
68960,0.0568
68970,0.0441
68980,0.0310
68990,0.0163
69000,0.0000
69010,0.0153
69020,0.0248
69030,0.0289
69040,0.0327
69050,0.0389
69060,0.0483
69070,0.0588
69080,0.0690
69090,0.0779
69100,0.0841
69110,0.0876
69120,0.0908
69130,0.0993
69140,0.0991
69150,0.1070
69160,0.1166
69170,0.1259
69180,0.1342
69190,0.1432
69200,0.1532
69210,0.1638
69220,0.1731
69230,0.1777
69240,0.1798
69250,0.1842
69260,0.1920
69270,0.2024
69280,0.2157
69290,0.2272
69300,0.2348
69310,0.2414
69320,0.2494
69330,0.2592
69340,0.2706
69350,0.2814
69360,0.2916
69370,0.3007
69380,0.3059
69390,0.2900
69400,0.2965
69410,0.3078
69420,0.3183
69430,0.3252
69440,0.3303
69450,0.3329
69460,0.3360
69470,0.3415
69480,0.3496
69490,0.3577
69500,0.3692
69510,0.3800
69520,0.3884
69530,0.3967
69540,0.4072
69550,0.4175
69560,0.4267
69570,0.4362
69580,0.4467
69590,0.4587
69600,0.4696
69610,0.4776
69620,0.4847
69630,0.4937
69640,0.5008
69650,0.5086
69660,0.5165
69670,0.5220
69680,0.5272
69690,0.5346
69700,0.5438
69710,0.5552
69720,0.5676
69730,0.5808
69740,0.5943
69750,0.6074
69760,0.6188
69770,0.6285
69780,0.6369
69790,0.6449
69800,0.6536
69810,0.6628
69820,0.6698
69830,0.6756
69840,0.6829
69850,0.6926
69860,0.6902
69870,0.6887
69880,0.6914
69890,0.6980
69900,0.7069
69910,0.7179
69920,0.7294
69930,0.7418
69940,0.7535
69950,0.7640
69960,0.7739
69970,0.7844
69980,0.7941
69990,0.8034
70000,0.8111
70010,0.8186
70020,0.8252
70030,0.8318
70040,0.8396
70050,0.8496
70060,0.8620
70070,0.8756
70080,0.8844
70090,0.8799
70100,0.8713
70110,0.8682
70120,0.8726
70130,0.8818
70140,0.8947
70150,0.9097
70160,0.9255
70170,0.9411
70180,0.9545
70190,0.9670
70200,0.9790
70210,0.9891
70220,0.9935
70230,0.9838
70240,0.9842
70250,0.9909
70260,1.0008
70270,1.0126
70280,1.0243
70290,1.0358
70300,1.0466
70310,1.0572
70320,1.0679
70330,1.0781
70340,1.0876
70350,1.0971
70360,1.1034
70370,1.1047
70380,1.1071
70390,1.1134
70400,1.1235
70410,1.1357
70420,1.1483
70430,1.1613
70440,1.1736
70450,1.1856
70460,1.2000
70470,1.2105
70480,1.2160
70490,1.2153
70500,1.2107
70510,1.2132
70520,1.2214
70530,1.2320
70540,1.2419
70550,1.2487
70560,1.2552
70570,1.2619
70580,1.2706
70590,1.2812
70600,1.2924
70610,1.3032
70620,1.3163
70630,1.3291
70640,1.3371
70650,1.3421
70660,1.3461
70670,1.3515
70680,1.3595
70690,1.3684
70700,1.3736
70710,1.3750
70720,1.3779
70730,1.3843
70740,1.3929
70750,1.4028
70760,1.4086
70770,1.4082
70780,1.4162
70790,1.4249
70800,1.4314
70810,1.4385
70820,1.4494
70830,1.4629
70840,1.4744
70850,1.4845
70860,1.4937
70870,1.5014
70880,1.5086
70890,1.5165
70900,1.5260
70910,1.5362
70920,1.5456
70930,1.5522
70940,1.5577
70950,1.5644
70960,1.5728
70970,1.5836
70980,1.5996
70990,1.6168
71000,1.6329
71010,1.6468
71020,1.6546
71030,1.6462
71040,1.6494
71050,1.6555
71060,1.6615
71070,1.6662
71080,1.6692
71090,1.6738
71100,1.6803
71110,1.6867
71120,1.6948
71130,1.7048
71140,1.7165
71150,1.7286
71160,1.7407
71170,1.7527
71180,1.7644
71190,1.7717
71200,1.7736
71210,1.7735
71220,1.7756
71230,1.7813
71240,1.7884
71250,1.7975
71260,1.8062
71270,1.8137
71280,1.8218
71290,1.8307
71300,1.8403
71310,1.8512
71320,1.8632
71330,1.8758
71340,1.8885
71350,1.8994
71360,1.9080
71370,1.9137
71380,1.9183
71390,1.9262
71400,1.9372
71410,1.9494
71420,1.9515
71430,1.9543
71440,1.9616
71450,1.9675
71460,1.9703
71470,1.9726
71480,1.9777
71490,1.9868
71500,1.9989
71510,2.0106
71520,2.0205
71530,2.0298
71540,2.0397
71550,2.0505
71560,2.0621
71570,2.0729
71580,2.0816
71590,2.0885
71600,2.0956
71610,2.1035
71620,2.1128
71630,2.1198
71640,2.1246
71650,2.1304
71660,2.1380
71670,2.1474
71680,2.1582
71690,2.1696
71700,2.1790
71710,2.1700
71720,2.1664
71730,2.1690
71740,2.1771
71750,2.1878
71760,2.1982
71770,2.2060
71780,2.2102
71790,2.2151
71800,2.2226
71810,2.2322
71820,2.2431
71830,2.2548
71840,2.2643
71850,2.2720
71860,2.2787
71870,2.2855
71880,2.2938
71890,2.3038
71900,2.3149
71910,2.3254
71920,2.3350
71930,2.3438
71940,2.0559
71950,1.0036
71960,2.7750
71970,4.5735
71980,5.7621
71990,6.5499
72000,7.0519
72010,7.4057
72020,7.6804
72030,7.8846
72040,8.0888
72050,8.2807
72060,8.4657
72070,8.6462
72080,8.8233
72090,8.9949
72100,9.1544
72110,9.3110
72120,9.4690
72130,9.6268
72140,9.7647
72150,9.8951
72160,10.0185
72170,10.1424
72180,10.2862
72190,10.4256
72200,10.5446
72210,10.6674
72220,10.7928
72230,10.9279
72240,11.0747
72250,11.2270
72260,11.3501
72270,11.4602
72280,11.5789
72290,11.6894
72300,11.7970
72310,11.9056
72320,12.0127
72330,12.1200
72340,12.2300
72350,12.3451
72360,12.4450
72370,12.5468
72380,12.6543
72390,12.7660
72400,12.8740
72410,12.9756
72420,13.0720
72430,13.1633
72440,13.2599
72450,13.3538
72460,13.4473
72470,13.5460
72480,13.6535
72490,13.7503
72500,13.8537
72510,13.9531
72520,14.0495
72530,14.1423
72540,14.2301
72550,14.3196
72560,14.4265
72570,14.5577
72580,14.6594
72590,14.7637
72600,14.8562
72610,14.9401
72620,15.0227
72630,15.1051
72640,15.1873
72650,15.2789
72660,15.3763
72670,15.4839
72680,15.5748
72690,15.6670
72700,15.7598
72710,15.8448
72720,15.9219
72730,16.0037
72740,16.0827
72750,16.1601
72760,16.2499
72770,16.3223
72780,16.4026
72790,16.4986
72800,16.5866
72810,16.6751
72820,16.7679
72830,16.8677
72840,16.9559
72850,17.0419
72860,17.1349
72870,17.2116
72880,17.2833
72890,17.3586
72900,17.4317
72910,17.5132
72920,17.6160
72930,17.6953
72940,17.7700
72950,17.8494
72960,17.9257
72970,17.9969
72980,18.0723
72990,18.1514
73000,18.2254
73010,18.3234
73020,18.4232
73030,18.5126
73040,18.5841
73050,18.6526
73060,18.7327
73070,18.8304
73080,18.9123
73090,18.9916
73100,19.0682
73110,19.1324
73120,19.2172
73130,19.2974
73140,19.3759
73150,19.4619
73160,19.5282
73170,19.6058
73180,19.6828
73190,19.7547
73200,19.8077
73210,19.8806
73220,19.9608
73230,20.0423
73240,20.1180
73250,20.1946
73260,20.2786
73270,20.3707
73280,20.4613
73290,20.5470
73300,20.6483
73310,20.7287
73320,20.8219
73330,20.8956
73340,20.9579
73350,21.0195
73360,21.0832
73370,21.1567
73380,21.2446
73390,21.3260
73400,21.4178
73410,21.5047
73420,21.5855
73430,21.6580
73440,21.7306
73450,21.8092
73460,21.8913
73470,21.9842
73480,22.0645
73490,22.1525
73500,22.2377
73510,22.3343
73520,22.4361
73530,22.5056
73540,22.5952
73550,22.6956
73560,22.7962
73570,22.9062
73580,22.9974
73590,23.0781
73600,23.1593
73610,23.2370
73620,23.3217
73630,23.4018
73640,23.5008
73650,23.6034
73660,23.7115
73670,23.8146
73680,23.9051
73690,23.9810
73700,24.0479
73710,24.1358
73720,24.2128
73730,24.2884
73740,24.3647
73750,24.4461
73760,24.5434
73770,24.6257
73780,24.7054
73790,24.7670
73800,24.8304
73810,24.9140
73820,25.0037
73830,25.1039
73840,25.1906
73850,25.2671
73860,25.3428
73870,25.4274
73880,25.5066
73890,25.5938
73900,25.6811
73910,25.7655
73920,25.8441
73930,25.9140
73940,25.9872
73950,26.0666
73960,26.1474
73970,26.2279
73980,26.3066
73990,26.3857
74000,26.4495
74010,26.5147
74020,26.5787
74030,26.6524
74040,26.7332
74050,26.8152
74060,26.8943
74070,26.9375
74080,27.0073
74090,27.0746
74100,27.1501
74110,27.2263
74120,27.3004
74130,27.3741
74140,27.4410
74150,27.5132
74160,27.5856
74170,27.6434
74180,27.6941
74190,27.7442
74200,27.8108
74210,27.8700
74220,27.9390
74230,28.0146
74240,28.0930
74250,28.1780
74260,28.2648
74270,28.3486
74280,28.4075
74290,28.4689
74300,28.5298
74310,28.5983
74320,28.6666
74330,28.7378
74340,28.8002
74350,28.8677
74360,28.9354
74370,29.0031
74380,29.0552
74390,29.1264
74400,29.2056
74410,29.2864
74420,29.3672
74430,29.4444
74440,29.5161
74450,29.5788
74460,29.6417
74470,29.7091
74480,29.7775
74490,29.8482
74500,29.9217
74510,29.9890
74520,30.0264
74530,30.0905
74540,30.1662
74550,30.2426
74560,30.3196
74570,30.3926
74580,30.4617
74590,30.5287
74600,30.5917
74610,30.6236
74620,30.6803
74630,30.7489
74640,30.8186
74650,30.8968
74660,30.9757
74670,31.0519
74680,31.1224
74690,31.1750
74700,31.2339
74710,31.3049
74720,31.3762
74730,31.4497
74740,31.5257
74750,31.6092
74760,31.6923
74770,31.7639
